Department Prefix,Department,Sr no.,Type,Course Code,Course Name,Course Type,Course content category,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division Definition
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,35,timetable,SOM643,Introduction to ERP,Theory,Advanced Course.,I - Atul Prabhakar Kanyalkar,SecondHalf,8 Mon-8A-14:00:00-15:25:00- Thu-8B-14:00:00-15:25:00-,,,60,View Restrictions for Course SOM643 Course Code Batch Year Department Program Allowed Overridable SOM643 ALL Shailesh J. Mehta School of Management MBA Allowed Non-Overridable SOM643 ALL Shailesh J. Mehta School of Management Ph.D. Allowed Non-Overridable SOM643 ALL ALL ALL Deny Non-Overridable,
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,36,timetable,SOM650,"Mergers, Acquisitions and Business Valuation",Theory,Advanced Course.,I - Sapar Narayan Rao,FirstHalf,,,,60,View Restrictions for Course SOM650 Course Code Batch Year Department Program Allowed Overridable SOM650 ALL Shailesh J. Mehta School of Management MBA Allowed Non-Overridable SOM650 ALL Shailesh J. Mehta School of Management Ph.D. Allowed Non-Overridable SOM650 ALL ALL ALL Deny Non-Overridable,
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,37,timetable,SOM653,Security Analysis and Portfolio Management,Theory,Advanced Course.,I - Rohan Chinchwadkar,SecondHalf,9 Mon-9A-15:30:00-16:55:00- Thu-9B-15:30:00-16:55:00-,,,60,View Restrictions for Course SOM653 Course Code Batch Year Department Program Allowed Overridable SOM653 ALL Shailesh J. Mehta School of Management MBA Allowed Non-Overridable SOM653 ALL Shailesh J. Mehta School of Management Ph.D. Allowed Non-Overridable SOM653 ALL ALL ALL Deny Non-Overridable,
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,38,timetable,SOM655,Derivatives and Risk Management,Theory,Advanced Course.,I - Piyush Pandey,FirstHalf,,,,60,View Restrictions for Course SOM655 Course Code Batch Year Department Program Allowed Overridable SOM655 ALL ALL Ph.D. Allowed Non-Overridable SOM655 ALL Shailesh J. Mehta School of Management MBA Allowed Non-Overridable SOM655 ALL Shailesh J. Mehta School of Management Ph.D. Allowed Non-Overridable SOM655 ALL ALL M.A. Allowed Non-Overridable SOM655 ALL ALL M.A. by Research Allowed Non-Overridable SOM655 ALL ALL M.A. by Research (Exit degree) Allowed Non-Overridable SOM655 ALL ALL M.A. (Exit degree) Allowed Non-Overridable SOM655 ALL ALL Master in Development Practice Allowed Non-Overridable SOM655 ALL ALL Master of Public Policy Allowed Non-Overridable SOM655 ALL ALL MBA Allowed Non-Overridable SOM655 ALL ALL M.Des. Allowed Non-Overridable SOM655 ALL ALL M.Phil. Allowed Non-Overridable SOM655 ALL ALL M.Phil. (Exit Degree) Allowed Non-Overridable SOM655 ALL ALL M.S. by Research Allowed Non-Overridable SOM655 ALL ALL M.S. by Research (Exit degree) Allowed Non-Overridable SOM655 ALL ALL M.Sc. Allowed Non-Overridable SOM655 ALL ALL M.Tech. Allowed Non-Overridable SOM655 ALL ALL M.Tech. (Exit Degree) Allowed Non-Overridable SOM655 ALL ALL ALL Deny Non-Overridable,
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,39,timetable,SOM663,Brand Management,Theory,Advanced Course.,I - Dinesh Sharma,FirstHalf,,,,60,View Restrictions for Course SOM663 Course Code Batch Year Department Program Allowed Overridable SOM663 ALL Shailesh J. Mehta School of Management MBA Allowed Non-Overridable SOM663 ALL Shailesh J. Mehta School of Management Ph.D. Allowed Non-Overridable SOM663 ALL ALL ALL Deny Non-Overridable,
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,40,timetable,SOM671,International Competitiveness,Theory,Advanced Course.,I - Kirankumar Somchand Momaya,FullSemester,6 Fri-6B-09:30:00-10:55:00- Wed-6A-09:30:00-10:55:00-,,,60,View Restrictions for Course SOM671 Course Code Batch Year Department Program Allowed Overridable SOM671 ALL ALL Ph.D. Allowed Non-Overridable SOM671 ALL Shailesh J. Mehta School of Management MBA Allowed Non-Overridable SOM671 ALL Shailesh J. Mehta School of Management Ph.D. Allowed Non-Overridable SOM671 ALL ALL B.Des. Allowed Non-Overridable SOM671 ALL ALL B.Sc. (3-year) Allowed Non-Overridable SOM671 ALL ALL B.S.+ M.Sc. Dual Degree Allowed Non-Overridable SOM671 ALL ALL B.Tech. Allowed Non-Overridable SOM671 ALL ALL Dual Degree (B.Des. + M.Des.) Allowed Non-Overridable SOM671 ALL ALL Dual Degree (B.Tech. + M.Tech.) Allowed Non-Overridable SOM671 ALL ALL Dual Degree (M.Phil. + Ph.D.) Allowed Non-Overridable SOM671 ALL ALL Dual Degree (MPP + Ph.D.) Allowed Non-Overridable SOM671 ALL ALL Dual Degree (M.S. by Research + Ph.D.) Allowed Non-Overridable SOM671 ALL ALL Dual Degree (M.Sc. + M.Phil.) Allowed Non-Overridable SOM671 ALL ALL M.A. (Exit degree) Allowed Non-Overridable SOM671 ALL ALL Master in Development Practice Allowed Non-Overridable SOM671 ALL ALL Master of Public Policy Allowed Non-Overridable SOM671 ALL ALL MBA Allowed Non-Overridable SOM671 ALL ALL M.Des. Allowed Non-Overridable SOM671 ALL ALL M.S. by Research Allowed Non-Overridable SOM671 ALL ALL M.Sc. Allowed Non-Overridable SOM671 ALL ALL M.Sc. (Exit Degree) Allowed Non-Overridable SOM671 ALL ALL M.S. (Exit Degree) Allowed Non-Overridable SOM671 ALL ALL M.Tech. Allowed Non-Overridable SOM671 ALL ALL M.Tech. (Exit Degree) Allowed Non-Overridable SOM671 ALL ALL P.G.D.I.I.T (Exit Degree) Allowed Non-Overridable SOM671 ALL ALL ALL Deny Non-Overridable,
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,41,timetable,SOM675,Organization Theory and Design,Theory,Advanced Course.,I - Soumya G. Rajan,FirstHalf,,,,60,View Restrictions for Course SOM675 Course Code Batch Year Department Program Allowed Overridable SOM675 ALL Shailesh J. Mehta School of Management MBA Allowed Non-Overridable SOM675 ALL Shailesh J. Mehta School of Management Ph.D. Allowed Non-Overridable SOM675 ALL ALL ALL Deny Non-Overridable,
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,42,timetable,SOM690,Software Project Management,Theory,Advanced Course.,I - Rajendra Madhukar Sonar,SecondHalf,,,,60,View Restrictions for Course SOM690 Course Code Batch Year Department Program Allowed Overridable SOM690 ALL Shailesh J. Mehta School of Management MBA Allowed Non-Overridable SOM690 ALL Shailesh J. Mehta School of Management Ph.D. Allowed Non-Overridable SOM690 ALL ALL ALL Deny Non-Overridable,
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,43,timetable,SOM697,Electronic Business Strategies and Implementation,Theory,Advanced Course.,I - Rajendra Madhukar Sonar,SecondHalf,,,,60,View Restrictions for Course SOM697 Course Code Batch Year Department Program Allowed Overridable SOM697 ALL Shailesh J. Mehta School of Management MBA Allowed Non-Overridable SOM697 ALL Shailesh J. Mehta School of Management Ph.D. Allowed Non-Overridable SOM697 ALL ALL ALL Deny Non-Overridable,
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,44,timetable,SOM698,Management of Banking and Financial Services,Theory,Advanced Course.,I - Piyush Pandey,FirstHalf,,,,60,View Restrictions for Course SOM698 Course Code Batch Year Department Program Allowed Overridable SOM698 ALL ALL Postgraduate Diploma(PGD-Exit) Allowed Non-Overridable SOM698 ALL Shailesh J. Mehta School of Management MBA Allowed Non-Overridable SOM698 ALL Shailesh J. Mehta School of Management Ph.D. Allowed Non-Overridable SOM698 ALL ALL M.A. Allowed Non-Overridable SOM698 ALL ALL M.A. by Research Allowed Non-Overridable SOM698 ALL ALL M.A. by Research (Exit degree) Allowed Non-Overridable SOM698 ALL ALL M.A. (Exit degree) Allowed Non-Overridable SOM698 ALL ALL Master in Development Practice Allowed Non-Overridable SOM698 ALL ALL MBA Allowed Non-Overridable SOM698 ALL ALL M.Des. Allowed Non-Overridable SOM698 ALL ALL M.Des. by Research Allowed Non-Overridable SOM698 ALL ALL M.Phil. Allowed Non-Overridable SOM698 ALL ALL M.Phil. (Exit Degree) Allowed Non-Overridable SOM698 ALL ALL M.S. by Research Allowed Non-Overridable SOM698 ALL ALL M.Sc. Allowed Non-Overridable SOM698 ALL ALL Ph.D. Allowed Non-Overridable SOM698 ALL ALL ALL Deny Non-Overridable,
