CourseCode,CourseName,CourseCredit,Type,Courses,Applicable forDepartment(s),Applicable forprogram(s),InstructorConsent,Remark,Qualifyingdiscipline
AE 429,Aircraft Design Project,6,prerequiste,,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.S. by Research + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc.+ M.S. by Research)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A. by Research
- M.A. by Research (Exit degree)
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Des. by Research
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
AE 454,Dynamics and Bifurcations,6,equivalent,AE 777,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.Tech. + Ph.D.)
- M.Tech.
- Ph.D.
",Not Required,,
AE 455,Introduction to Aeroelasticity,6,prerequiste,AE 238,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
AE 501,Virtual Instrumentation for Aerospace Engineers,7,prerequiste,,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.S. by Research + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc.+ M.S. by Research)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A.
- M.A. by Research
- M.A. by Research (Exit degree)
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Des. by Research
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Postgraduate Diploma(PGD-Exit)
- Preparatory Course
- Visiting Students
",Required,,
AE 503,Introduction to Autonomous Systems,6,prerequiste,,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.S. by Research + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc.+ M.S. by Research)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A.
- M.A. by Research
- M.A. by Research (Exit degree)
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Des. by Research
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Postgraduate Diploma(PGD-Exit)
- Preparatory Course
- Visiting Students
",Required,,
AE 616,Gas Dynamics,6,equivalent,AE 236 OR ME 678,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 619,Non-linear Systems Analysis,6,equivalent,ME 670 OR SC 602 OR CL 714 OR EE 613,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 626,Spacecraft Attitude Dynamics and Control,6,prerequiste,,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.S. by Research + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc.+ M.S. by Research)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A.
- M.A. by Research
- M.A. by Research (Exit degree)
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Des. by Research
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Postgraduate Diploma(PGD-Exit)
- Preparatory Course
- Visiting Students
",Required,,
AE 649,Finite Element Method,6,equivalent,CE 620 OR ME 613,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Required,,
AE 649,Finite Element Method,6,prerequiste,AE 227 OR ME 201 OR MM 203,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Required,,
AE 651,Aerodynamics of Compressors and Turbines,6,prerequiste,,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.S. by Research + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc.+ M.S. by Research)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A.
- M.A. by Research
- M.A. by Research (Exit degree)
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Des. by Research
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Postgraduate Diploma(PGD-Exit)
- Preparatory Course
- Visiting Students
",Required,,
AE 653,Engineering Mathematics,6,equivalent,CL 602 OR ME 673,All Department,"- M.Tech.
",Required,,
