CourseCode,CourseName,CourseCredit,Type,Courses,Applicable forDepartment(s),Applicable forprogram(s),InstructorConsent,Remark,Qualifyingdiscipline
CL 720,Introduction to Bio-membranes,6,prerequiste,,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.S. by Research + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc.+ M.S. by Research)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A. by Research
- M.A. by Research (Exit degree)
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Des. by Research
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
CL 722,Introduction to Interfacial Waves,6,prerequiste,,Self Department (Department offering this Course),"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.S. by Research + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc.+ M.S. by Research)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A.
- M.A. by Research
- M.A. by Research (Exit degree)
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Des. by Research
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Postgraduate Diploma(PGD-Exit)
- Preparatory Course
- Visiting Students
",Required,,
CL 726,Introduction to Genomics,6,prerequiste,,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.Sc.+ M.S. by Research)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- Integrated M.Sc. (5-Year)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- Ph.D.
",Required,,
CL3616,Selected Topics in Transport & Reaction Process,6,prerequiste,,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.S. by Research + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc.+ M.S. by Research)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A.
- M.A. by Research
- M.A. by Research (Exit degree)
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Des. by Research
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Postgraduate Diploma(PGD-Exit)
- Preparatory Course
- Visiting Students
",Required,,
CL6001,Management of Chemical Projects,6,prerequiste,,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.S. by Research + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc.+ M.S. by Research)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A. by Research
- M.A. by Research (Exit degree)
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Des. by Research
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
CM 501,Advanced computational methods for turbulent incompressible flows,6,prerequiste,,All Department,"- B.Des.
- B.S.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A. by Research
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
CM 503,Atmospheric Thermodynamics,6,prerequiste,,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc.+ M.S. by Research)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A. by Research
- M.A. by Research (Exit degree)
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
CM 504,Monsoons and Tropical Climate,6,prerequiste,,All Department,"- B.Des.
- B.S.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A. by Research
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
CM 801,Introduction to Risk Analysis,6,prerequiste,,Other than Self Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Tech. + M.S. by Research)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A.
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Des. by Research
- M.Phil.
- M.Phil. (Exit Degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Postgraduate Diploma(PGD-Exit)
- Preparatory Course
- Visiting Students
",Required,,
CS 108,Software Systems Lab,6,prerequiste,CS 101,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
CS 213,Data Structures and Algorithms,6,prerequiste,CS 101,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
CS 215,Data Analysis and Interpretation,6,prerequiste,CS 101,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
CS 217,Artificial Intelligence and Machine Learning,6,prerequiste,CS 101 AND CS 215,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
CS 218,Design and Analysis of Algorithms,6,prerequiste,CS 213,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
CS 228,Logic for Computer Science,6,prerequiste,CS 105,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Conditional,,
CS 230,Digital Logic Design and Computer Architecture,6,prerequiste,CS 101,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
CS 231,Digital Logic and Computer Architecture Lab,3,prerequiste,CS 101,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
CS 232,Digital Logic Design and Computer Architecture Lab,4,prerequiste,CS 101,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
CS 234,Operating Systems,4,prerequiste,CS 230 AND CS 213,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Conditional,,
CS 236,Operating Systems Lab,3,prerequiste,CS 231 AND CS 293,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Conditional,,
CS 240,Artificial Intelligence and Machine Learning (Lab),3,prerequiste,CS 213,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Conditional,,
CS 293,Data Structures and Algorithms Lab,3,prerequiste,CS 101,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
CS 306,Implementation of Programming Languages Laboratory,3,prerequiste,CS 293,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
CS 310,Automata Theory,6,prerequiste,CS 228,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Conditional,,
CS 310,Automata Theory,6,prerequiste,CS 105 OR CS 207,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
CS 317,Database and Information Systems,6,prerequiste,CS 213,Other than Self Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- IDDDP
- Integrated M.Sc. (5-Year)
- Preparatory Course
",Required,CS213M is a prereq for CS317M,
CS 320,Implementation of Programming Languages,6,prerequiste,CS 213,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
CS 339,Abstractions and Paradigms for Programming,6,prerequiste,CS 101,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
CS 347,Operating Systems,6,prerequiste,CS 101 AND CS 213,Other than Self Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- IDDDP
- Integrated M.Sc. (5-Year)
- Preparatory Course
",Not Required,CS101 and CS213M are prereqs for CS347M,
CS 348,Computer Networks,6,prerequiste,CS 213,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Conditional,,
CS 348,Computer Networks,6,prerequiste,CS 101,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
CS 349,Database and Information Systems Lab,3,prerequiste,CS 213,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
CS 355,Programming Paradigms Laboratory,3,prerequiste,CS 101,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
CS 357,Database and Information Systems,4,prerequiste,CS 213,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
CS 378,Computer Networks Lab,3,prerequiste,CS 101,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
CS 378,Computer Networks Lab,3,prerequiste,CS 213,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Conditional,,
CS 385,B.Tech. Seminar,3,prerequiste,CS 396,Self Department (Department offering this Course),"- B.Tech.
",Not Required,,
CS 409,Introduction to Cryptography,6,prerequiste,CS 105,Self Department (Department offering this Course),"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Conditional,,
CS 485,R & D Project II,6,prerequiste,CS 490,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.S. by Research + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc.+ M.S. by Research)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A.
- M.A. by Research
- M.A. by Research (Exit degree)
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Des. by Research
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Postgraduate Diploma(PGD-Exit)
- Preparatory Course
- Visiting Students
",Not Required,,
CS 496,BTP II,12,prerequiste,CS 490 OR CS 492,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.S. by Research + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc.+ M.S. by Research)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A.
- M.A. by Research
- M.A. by Research (Exit degree)
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Des. by Research
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Postgraduate Diploma(PGD-Exit)
- Preparatory Course
- Visiting Students
",Not Required,,
CS 631,Implementation Techniques for Relational Database Systems,6,prerequiste,CS 317,Other than Self Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
CS 721,Introduction to Computational Complexity,6,prerequiste,CS 105,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Sc.)
- Dual Degree (B.Tech. + M.Tech.)
- IDDDP
- Integrated M.Sc. (5-Year)
- Preparatory Course
",Conditional,,
CS 782,Algebra and Computation,6,prerequiste,,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- DDDP
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Sc.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.S. by Research + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc.+ M.S. by Research)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A.
- M.A. by Research
- M.A. by Research (Exit degree)
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Des. by Research
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Postgraduate Diploma(PGD-Exit)
- Preparatory Course
- Visiting Students
",Required,"Basic coures in algebra: groups, rings, fields",
CS 787,Language Engineering for Complex Programs: A C++ Perspective,6,prerequiste,CS 213 AND CS 293 AND CS 339 AND CS 355,Self Department (Department offering this Course),"- B.Tech.
",Conditional,,
CS6008,Network Security,6,prerequiste,CS 348,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Sc.)
- Dual Degree (B.Tech. + M.Tech.)
- IDDDP
- Integrated M.Sc. (5-Year)
- Preparatory Course
",Not Required,,
DE 403,Studio Project I,6,prerequiste,,All Department,"- B.S.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- Integrated M.Sc. (5-Year)
",Required,"This is a project course and not lecture based. Students can work on projects such as pottery, weaving, crafts, innovation, product design etc. after manual approval from IDC faculty. After pre-registration and registration students have to collect manual form from IDC 1st floor office and get approval from IDC faculty offering the project and submit to IDC office.",
DE 405,Studio Project II,6,prerequiste,,All Department,"- B.S.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- Integrated M.Sc. (5-Year)
- Ph.D.
",Required,"This is a project course and not lecture based. Students can work on projects such as pottery, weaving, crafts, innovation, product design etc. after manual approval from IDC faculty. After pre-registration and registration students have to collect manual form from IDC 1st floor office and get approval from IDC faculty offering the project and submit to IDC office.",
DE 618,Semantics and Communication Theory,6,prerequiste,DE 623,Self Department (Department offering this Course),"- M.Des.
",Required,,
DE 623,Visual Design,4,prerequiste,DE 615,Self Department (Department offering this Course),"- M.Des.
",Not Required,This is a core course for Communication Design students in M.Des,
DH 304,Economics of Health Care,6,prerequiste,EC 101 OR HS 101,All Department,"- B.Des.
- B.S.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- IDDDP
- Integrated M.Sc. (5-Year)
- Preparatory Course
",Not Required,CPI&gt;=7.0,
DH 307,R & D Project,6,prerequiste,,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- IDDDP
- Integrated M.Sc. (5-Year)
- Preparatory Course
",Required,,
DH 602,Machine Learning and Statistical Methods in Healthcare,6,prerequiste,CS 419 OR CS 726 OR EE 769 OR DS 303 OR ME 781 OR CS 337 OR CS 335 OR GNR652,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- IDDDP
- Integrated M.Sc. (5-Year)
- Preparatory Course
",Not Required,,
DH 603,Computational Multi-omics of Ageing,3,prerequiste,BB 101,Other than Self Department,"- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- IDDDP
- Integrated M.Sc. (5-Year)
- M.S. by Research
",Required,,
DH 604,R & D Project-I,6,prerequiste,,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.S. by Research + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc.+ M.S. by Research)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A.
- M.A. by Research
- M.A. by Research (Exit degree)
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Des. by Research
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Postgraduate Diploma(PGD-Exit)
- Preparatory Course
- Visiting Students
",Required,,
DH 607,Introduction to Computational Multi-omics,6,prerequiste,BB 101,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- IDDDP
- Integrated M.Sc. (5-Year)
- Preparatory Course
",Required,,
DS 608,Advanced Topics in Optimization and Machine Learning,6,prerequiste,( CL 603 OR CS 709 OR EE 659 OR EE 736 OR IE 501 OR IE 609 IE 716 OR IE 804 OR SC 607 OR SI 416 OR DS 605 OR DS 607 OR CS 769 OR IE 601 OR SC 646 OR SC 653 ) AND ( BB 621 OR CL 672 OR EE 325 OR EE 601 OR IE 621 OR SC 629 ),All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.S. by Research + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc.+ M.S. by Research)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A.
- M.A. by Research
- M.A. by Research (Exit degree)
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Des. by Research
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Postgraduate Diploma(PGD-Exit)
- Preparatory Course
- Visiting Students
",Conditional,Students should have taken at least one course in both optimization and prob-stats below (or need instructor approval).,
EC 101,Economics,6,equivalent,HS 101,Self Department (Department offering this Course),"- B.S.
",Not Required,,
EC 212,Intermediate Macroeconomics II,6,equivalent,HS 212,Self Department (Department offering this Course),"- B.S.
",Not Required,,
EC 214,Statistics II,6,equivalent,HS 214,Self Department (Department offering this Course),"- B.S.
",Not Required,,
